[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.global.RegisterPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.global.ShutDownPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.proxy.in.SendProxyConfigPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.proxy.in.StopProxyPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.proxy.out.ProxyStoppingPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.in.ExecuteCommandPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.in.SendServerConfigPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.in.StopServerGroupPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.in.StopServerPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.out.ServerStoppingPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.in.CopyServerPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.in.CreateTemplatePacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.in.StartServerPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.out.DebugPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.out.ErrorPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.out.InfoPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.wrapper.out.WarningPacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.global.UpdateMaintenancePacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.proxy.out.ServerGroupUpdatePacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.server.server.out.ServerUpdatePacket
[Cloud-Thread | 14:03:40] INFO: Registered Packet By Clazz: de.crycodes.de.spacebyter.liptoncloud.packets.global.RegisterResponsePacket
[Cloud-Thread | 14:03:40] INFO: [34m░█████╗░██╗░░░░░░█████╗░██╗░░░██╗██████╗░[0m
[Cloud-Thread | 14:03:40] INFO: [34m██╔══██╗██║░░░░░██╔══██╗██║░░░██║██╔══██╗[0m
[Cloud-Thread | 14:03:40] INFO: [34m██║░░╚═╝██║░░░░░██║░░██║██║░░░██║██║░░██║[0m
[Cloud-Thread | 14:03:40] INFO: [34m██║░░██╗██║░░░░░██║░░██║██║░░░██║██║░░██║[0m
[Cloud-Thread | 14:03:40] INFO: [34m╚█████╔╝███████╗╚█████╔╝╚██████╔╝██████╔╝[0m
[Cloud-Thread | 14:03:40] INFO: [34m░╚════╝░╚══════╝░╚════╝░░╚═════╝░╚═════╝░[0m
[Cloud-Thread | 14:03:40] INFO: ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
[Cloud-Thread | 14:03:40] INFO: Coded by CryCodes & SpaceByter
[Cloud-Thread | 14:03:40] INFO: 
[Cloud-Thread | 14:03:41] INFO: Startet WrapperMaster Client on: (127.0.0.1:9685)
[Cloud-Thread | 14:03:41] INFO: Connected Successful to Master!
[Cloud-Thread | 14:03:41] INFO: This Cloud is Using the Version spigot-1.8.8-R0.1-SNAPSHOT-latest
[Cloud-Thread | 14:03:41] INFO: Action 'WRAPPERSTARTUP' took: (0.5) Seconds!
[Cloud-Thread | 14:03:41] INFO: Server Startet: Lobby-1 on (30000)
[Cloud-Thread | 14:03:41] INFO: Server Startet: Bedwars-1 on (30001)
[Cloud-Thread | 14:04:10] INFO: Stopping Cloud [ShutDownHookWrapper]
